Date,Year,Type,Country,State,Location,Activity,Sex,Age,Injury,Time
03-Oct-2014,2014.0,Watercraft,USA,California,Santa Barbara County,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",11h30
02-Oct-2014,2014.0,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,17h30
21-Sep-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Minor injury to left foot,11h30
13-Sep-2014,2014.0,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,,"A hoax, no shark involvement",18h45
06-Sep-2014,2014.0,Unprovoked,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Fishing ,M,43,Leg bitten,13h00
03-Sep-2014,2014.0,Watercraft,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County",Kayaking ,F,20s,"No injury, shark bit kayak",18h00
02-Sep-2014,2014.0,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,20h00
31-Aug-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,16h40
29-Aug-2014,2014.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,
29-Aug-2014,2014.0,Invalid,USA,Florida,"Atlantic Beach, Duval County",,,,Shark involvement not confirmed,16h18
28-Aug-2014,2014.0,Provoked,USA,Maryland,Assateague National Seashore,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,
27-Aug-2014,2014.0,Unprovoked,USA,North Carolina,"Figure Eight Island,  New Hanover County",Surfing,M,29,Laceration to left hand,
27-Aug-2014,2014.0,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,,Heel bitten,15h00
Reported 25-Aug-2014,2014.0,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,
24-Aug-2014,2014.0,Unprovoked,USA,North Carolina,"Off Masonboro Island, New Hanover County",Kite boarding,,,Laceration to left foot,
12-Aug-2014,2014.0,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,,Puncture wounds and lacerations to left thigh and knee,11h10
10-Aug-2014,2014.0,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",,M,26,Puncture wounds & lacerations to foot,
09-Aug-2014,2014.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,13h30
08-Aug-2014,2014.0,Unprovoked,USA,Louisiana,"Lake Ponchartain off Southshore Harbor, New Orleans",Swimming,M,7,Minor lacerations to left heel and big toe,Afternoon
06-Aug-2014,2014.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,14h00
05-Aug-2014,2014.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,
02-Aug-2014,2014.0,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,
02-Aug-2014,2014.0,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,13h00
27-Jul-2014,2014.0,Unprovoked,USA,North Carolina,"Sunset Beach, Brunswick County",Swimming,M,Teen,Left foot bitten,
21-Jul-2014,2014.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,Early afternoon
16-Jul-2014,2014.0,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,17h50
14-Jul-2014,2014.0,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,14h30
12-Jul-2014,2014.0,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Body surfing,M,,Lacerations to hand and wrist,
9-Jul-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Lacerations to foot,14h00
5-Jul-2014,2014.0,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,09h30
5-Jul-2014,2014.0,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,,"No injury, surboard bitten",07h00 - 08h00
3-Jul-2014,2014.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,18h15-18h30
09-Jun-2014,2014.0,Unprovoked,USA,Delaware,"Cape Henlopen State Park, Sussex County",Standing,M,16,"Abrasion to right hand, lacerations to left forearm",17h00
07-Jun-2014,2014.0,Unprovoked,USA,Texas,"West Beach, Galveston",Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,Afternoon
01-Jun-2014,2014.0,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,13h30
01-Jun-2014,2014.0,Unprovoked,USA,Palmyra Atoll,,Tagging sharks,F,37,Laceration to left hand,
15-May-2014,2014.0,Unprovoked,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,11h30
13-May2014,2014.0,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44,Lacerations and puncture wounds to right foot,11h00
11-May-2014,2014.0,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,12,Puncture wounds to right thigh,
Reported 10-May-2014,2014.0,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",
06-May-2014,2014.0,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,Lacerations to left foot,15h00
01-May-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Laceration to right hand and cuts on fingertips,15h00
22-Apr-2014,2014.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,42,Laceration & puncture wounds to right foot,15h30
15-Apr-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,Minor lacerations to left foot,09h57
04-Apr-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Minor puncture wounds to lower left leg,13h50
04-Apr-2014,2014.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Lacerations to foot,13h30
22-Mar-2014,2014.0,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,,Lacerations to left forearm,
21-Mar-2014,2014.0,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,
02-Mar-2014,2014.0,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,21,Lacerations to toes,
2014,2014.0,Unprovoked,USA,Hawaii,,Free diving / Photographing pilot whales,M,,"""Minor laceration to shoulder""",
11-Dec-2013,2013.0,Unprovoked,USA,Hawaii,"Ninole Bay, Hawaii County",Boogie boarding,M,29,Lacerations to right hand & knee,08h00
10-Dec-2013,2013.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,Right foot bitten,14h30
02-Dec-2013,2013.0,Unprovoked,USA,Hawaii,"Between  Makena & Molokini, Maui",Kayaking / Fishing,M,57,FATAL,09h00
29-Nov2013,2013.0,Unprovoked,USA,Hawaii,"Keawekapu Beach, Kihei, Maui",Snorkeling,F,58,Right calf bitten,13h00
22-Nov-2013,2013.0,Unprovoked,USA,Oregon,"Gleneden Beach, Lincoln County",Surfing,M,25,"No injury, board bitten",10h30
07-Nov-2013,2013.0,Unprovoked,USA,New Jersey,"Bay Head, Ocean County",Body boarding,M,16,"No injury, swim fin bitten",Afternoon
07-Nov-2013,2013.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,,Foot bitten,
31-Oct-2013,2013.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Kiteboarding,M,46,Severe bite to right calf & anklel,15h19
23-Oct-2013,2013.0,Unprovoked,USA,Hawaii,"Waiehu, Maui",Diving ,M,45,"3"" laceration to left hip",15h55
20-Oct-2013,2013.0,Unprovoked,USA,Hawaii,"Pila'a Beach, Kaua'i",Surfing,M,25,"No injury, shark bit surfboard",11h00
19-Oct-2013,2013.0,Unprovoked,USA,Florida,Miami Beach,Wading,M,6,Bitten on left calf & foot,Late afternoon
06-Oct-2013,2013.0,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,M,45,Laceration to thigh,08h45
10-Oct-2013,2013.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",Wading,M,12,Lacerations to  right forearm,15h30
29-Sep-2013,2013.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,50,Lacerations to hand,10h00
 25-Sep-2013,2013.0,Unprovoked,USA,Florida,"Panama City, Bay County",Standing,M,7,Laceration and puncture wounds to ankle,10h30
 21-Sep-2013,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,45,Lacerations to right foot,13h00
 21-Sep-2013,2013.0,Unprovoked,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Surfing,M,,Lacerations to left foream,Morning
 14-Sep-2013,2013.0,Unprovoked,USA,Florida,"Casino Beach, Pensacola, Escambia County",Swimming,M,21,Lacerations to right foot,15h30
 12-Sep-2013,2013.0,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,F,13,Heel bitten,13h00
08-Sep-2013,2013.0,Unprovoked,USA,South Carolina,"St. Helena Island, Beaufort County",,F,,No details,
 07-Sep-2013,2013.0,Provoked,USA,Florida,"New Smyrna Beach,  Volusia County",Surfing,M,43,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,16h00
 07-Sep-2013,2013.0,Unprovoked,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,M,25,"Minor injury, shin bitten",16h00
 02-Sep-2013,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,17,Shoulder bitten,13h00
 01-Sep-2013,2013.0,Provoked,USA,Florida,Key West Aquarium,,M,3,Arm bitten by captive shark PROVOKED INCIDENT,
 01-Sep-2013,2013.0,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Casting a net,M,9,Lacerations to left calf,12h00
31-Aug-2013,2013.0,Unprovoked,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Swimming,M,,Foot bitten,23h00
29-Aug-2013,2013.0,Invalid,USA,California,Catalina Channel,Marathon swimming,F,47,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",
 25-Aug-2013,2013.0,Unprovoked,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Boogie boarding,F,11,Minor injury to left lower leg & heel,17h00
 18-Aug-2013,2013.0,Unprovoked,USA,Hawaii,Pohoiki ,Surfing,M,16,Lacerations to buttocks & thigh,13h00
17-Aug-2013,2013.0,Unprovoked,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County",Surfing,F,,"No injury, shark bumped surfboard",12h40
 14-Aug-2013,2013.0,Unprovoked,USA,Hawaii,"Makenat, Maui",Snorkeling,F,20,FATAL,16h30
 13-Aug-2013,2013.0,Unprovoked,USA,Hawaii,"Ka'a Point, Maui",Kiteboarding,F,19,No injury & not on board. Board adrift when bitten by shark,13h55
11-Aug-2013,2013.0,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,10,"No injury, shark became entangled in his surfboard leash",17h30
 05-Aug-2013,2013.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Fishing,M,17,Minor injury to foot & shin,15h00
  31-Jul-2013,2013.0,Unprovoked,USA,Hawaii,"Ulua Beach, Maui",Snorkeling,F,56,"Lacerations to hand, face and torso",08h45
  30-Jul-2013,2013.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,32,Foot bitten,
  29-Jul-2013,2013.0,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Surfing,M,18,Lower leg bitten,14h10
19-Jul-2013,2013.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Walking in surf,F,50,Lacerations and abrasions to foot and ankle,14h30
Reported 17-Jul-2013,2013.0,Unprovoked,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",Swimming ,M,teen,4 cuts to posterior calf,
11-Jul-2013,2013.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,Wading,F,63,Right foot bitten,15h20
25-Jun-2013,2013.0,Watercraft,USA,California,"Pacific State , San Mateo County",Kayaking / Fishing,M,,"No injury, kayak scratched",15h30
25-Jun-2013,2013.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",Swimming,M,,Lacerations to left foot,
25-Jun-2013,2013.0,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,M,14,"Bitten on lower right leg, reported as a minor injury",12h45
18-Jun-2013,2013.0,Unprovoked,USA,Hawaii,Kona Coast State Park,Swimming,M,28,Right thigh & calf bitten,12h50
17-Jun-2013,2013.0,Unprovoked,USA,Texas,"Surfside Beach, Brazoria County",Swimming,M,15,Left leg & hand bitten,14h45
15-Jun-2013,2013.0,Unprovoked,USA,Florida,"Atlantic Beach, Duval County",Surfing,F,,Lacerations to left ankle,
Reported 14-Jun-2013,2013.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,F,10,Puncture marks to hand,Afternoon
06-Jun-2013,2013.0,Provoked,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Fishing for sharks,M,58,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,
27-May-2013,2013.0,Unprovoked,USA,Hawaii,"Halewia, Oahu",Diving,M,32,Lacerations to right hand,
27-May-2013,2013.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,11,Right foot bitten,Afternoon
08-May-2013,2013.0,Invalid,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,M,42,Shark bites were post-mortem,
04-May-2013,2013.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,16,Lacerations to left foot and ankle,11h15
17-Apr-2013,2013.0,Unprovoked,USA,Florida,"Near Boynton Beach, Palm Beach County",Playing in the surf,M,9,Lacerations to right foot,10h30
13-Apr-2013,2013.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Minor lacerations to right hand,13h30
04-Apr-2013,2013.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,50,Lacerations to hand,
02-Apr-2013,2013.0,Unprovoked,USA,Hawaii,Ka’anapali Shores,Surfing,M,58,Right thigh bitten,08h30
21-Feb-2013,2013.0,Unprovoked,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Surfing,,,Lacerations to right leg,18h00
21-Feb-2013,2013.0,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Surfing,M,,"No injury, shark bit rail of foam board",18h00
10-Feb-2013,2013.0,Unprovoked,USA,Florida,"""Stuart Rocks"", Martin County",Surfing,M,16,Lacerations to right hand,14h00
16-Jan-2013,2013.0,Unprovoked,USA,Hawaii,Kiholo Bay,Surfing,M,43,Left forearm bitten ,16h30
31-Dec-2012,2012.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,,Lower leg or ankle bitten,14h00
05-Dec-2012,2012.0,Unprovoked,USA,Hawaii,Kauai,Surfing,M,60,Lacerations to left foot,13h20
30-Nov-2012,2012.0,Unprovoked,USA,Hawaii,"Kihei, Maui",Snorkeling,M,61,Lacerations to thigh & lower left leg,09h40
19-Nov-2012,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,14,Minor lacerations to left foot & heel,17h30
04-Nov-2012,2012.0,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Diving,M,30,Right lower leg and foot bitten,08h30
04-Nov-2012,2012.0,Unprovoked,USA,Hawaii,"Davidson's Surf Break, Kekaha, Kaua'i",Surfing,M,43,"No injury, surfboard bitten",08h10
30-Oct-2012,2012.0,Unprovoked,USA,California,"Humboldt Bay, Eureka, Humboldt County",Surfing,M,25,Multiple lacerations to torso,12h00
27-Oct-2012,2012.0,Unprovoked,USA,Hawaii,"Makena Landing, Maui",Swimming,F,51,"Puncture wounds to thigh, defense wounds  to hand",15h56
23-Oct-2012,2012.0,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,39,FATAL,11h00
19-Oct-2012,2012.0,Unprovoked,USA,Florida,"Seaport, Brevard County",,F,35,Left calf bitten,
18-Oct-2012,2012.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,24,Minor bite to ankle,10h30
18-Oct-2012,2012.0,Unprovoked,USA,Hawaii,"Kanaha Beach, Maui",Paddle boarding,M,55,"No injury, board bitten",07h30
16-Oct-2012,2012.0,Invalid,USA,Florida,Hobe Sound,,M,,Laceration to toe,17h00
10-Oct-2012,2012.0,Unprovoked,USA,California,"Davenport Landing, Santa Cruz County",Windsurfing,M,42,"No ijnury to boardrider, shark struck board breaking the mast",18h30
25-Sep-2012,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,21,Lacerations to left forearm,16h30
24-Sep-2012,2012.0,Unprovoked,USA,Florida,"Spanish House Beach, Brevard County",Surfing,M,22,Left foot bitten,Afternoon
16-Sep-2012,2012.0,Unprovoked,USA,Florida," Cocoa Beach, Brevard  County",Surfing,M,52,Foot bitten,15h00
09-Sep-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,,19,Minor injury to elbow,14h20
08-Sep-2012,2012.0,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Surfing,M,25,Right foot bitten,12h00
08-Sep-2012,2012.0,Unprovoked,USA,Florida,"South Beach, Miami-Dade County",Swimming,M,,Lacerations to right calf,Afternoon
06-Sep-2012,2012.0,Unprovoked,USA,Florida,"Neptune Beach, Duval County",Surfing,M,30s,Right calf bitten,Just before noon
06-Sep-2012,2012.0,Unprovoked,USA,Florida,"St. Augustine Beach, St. John's County",Surfing,M,37,Lacerations to foot,11h30
04-Sep-2012,2012.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,32,Puncture wounds to hand,07h56
02-Sep-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,8,Puncture wounds to calf and hand,18h30
02-Sep-2012,2012.0,Provoked,USA,Hawaii,"Spreckelsville, Maui",Spearfishing,,,Minor laceration to hand  PROVOKED INCIDENT,12h00
02-Sep-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming or boogie boarding,F,56,Puncture wound to left ankle,16h30
15-Aug-2012,2012.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Wading or swimming,M,31,Lacerations to leg,
08-Aug-2012,2012.0,Unprovoked,USA,Florida,Key Largo,Free diving ,M,56,Lacerations to little finger of left hand,1600
31-Jul-2012,2012.0,Unprovoked,USA,California,"Topanga Beach, Los Angeles County",Surfing,M,17,"No injury, surfer knocked off board when shark struck surfboard",06h45
30-Jul-2012,2012.0,Unprovoked,USA,Hawaii,"Maha‘ulepu Beach, Kauai",Surfing,M,44,Left foot bitten,16h35
30-Jul-2012,2012.0,Unprovoked,USA,Massachusetts,"Ballston Beach, Truro, Cape Cod",Body surfing,M,50,Lacerations to both legs below the knees,15h30
24-Jul-2012,2012.0,Invalid,USA,North Carolina,"Ocean Isle, Brunswick County",,M,12,Shark involvement unconfirmed,11h45
08-Jul-2012,2012.0,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Swimming,F,43,Lacerations to right ankle and calf,17h30
07-Jul-2012,2012.0,Watercraft,USA,California,"Pleasure Point, Santa Cruz County",Kayaking,M,52,"No injury, kayak bitten",08h30
26-Jun-2012,2012.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Swimming,M,6,Thigh bitten,19h00
26-Jun-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,26,Nip to left foot,15h00
26-Jun-2012,2012.0,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Sitting in the water,F,16,Laceration to left calf,09h45
22-Jun-2012,2012.0,Unprovoked,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,M,12,Minor injury,16h30
19-Jun-2012,2012.0,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Standing,M,16,"Laceration to foot. Injured by a stingray, not a shark",
18-Jun-2012,2012.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Wading,F,6,Numerous puncture wounds to leg ,11h00
15-Jun-2012,2012.0,Provoked,USA,Florida,"Summerland Key, Monroe County",Fishing,M,23,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,14h20
14-Jun-2012,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,18,Foot & hand bitten,Afternoon
14-Jun-2012,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,Minor injury,Afternoon
14-Jun-2012,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,,Calf bitten,Afternoon
14-Jun-2012,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,M,16,Laceration to right foot,13h20
02-Jun-2012,2012.0,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Surfing,F,12,Laceration to thigh,
02-Jun-2012,2012.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Boogie Boarding,M,25,Severe laceration to foot,19h45
31-May-2012,2012.0,Unprovoked,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,F,33,Foot bitten,13h30
23-May-2012,2012.0,Unprovoked,USA,Florida,"Jacksonville, Duval County",Surfing,M,22,Lacerations to foot,15h00
20-May-2012,2012.0,Watercraft,USA,Hawaii,"Iroquiois Point, Oahu",Kayak Fishing,M,,"No injury, teethmarks in kayak",Morning
12-May-2012,2012.0,Watercraft,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,M,30,"No injury, kayaker fell in the water when kayak bitten by a shark",14h30
09-May-2012,2012.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Swimming,F,47,Upper left thigh bitten,11h30
06-May-2012,2012.0,Unprovoked,USA,California,Off Catalina Island,Paddle boarding,F,15,"No injury, shark bit paddleboard",07h20
19-Apr-2012,2012.0,Unprovoked,USA,Florida,"Indialantic, Brevard County",Surfing,M,28,Lacerations to hand,19h28
03-Apr-2012,2012.0,Unprovoked,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Surfing,M,28,Lacerations to left foot,12h38
Apr-2013,2012.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",,M,,Right shin bitten,
24-Mar-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,21,Minor lacerations to foot,14h00
15-Mar-2012,2012.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Surfing,M,61,Left forearm bitten,15h50
14-Mar-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,15,Bitten on ankle,16h00
14-Mar-2012,2012.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Bitten on calf,16h05
04-Mar-2012,2012.0,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Kite Surfing,M,19,Lacerations to left calf,13h00
26-Feb-2012,2012.0,Provoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",Kite Surfing,M,,Laceration to right foot when he struck a shark PROVOKED INCIDENT,14h00
27-Jan-2012,2012.0,Unprovoked,USA,Hawaii,Lanai,Snorkeling,,,"No injury, shark bit swim fin",11h05
13-Jan-2012,2012.0,Unprovoked,USA,Oregon,"Lincoln City, Lincoln County",Surfing,M,53,"No injury, surfboard damaged",
31-Dec-2011,2011.0,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",,M,,Hand injured,18h00
23-Dec-2011,2011.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,27,Laceration to ankle,12h30
21-Dec-2011,2011.0,Provoked,USA,Hawaii,"Makahuena Point, Kauai",Canoeing,M,,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",
06-Dec-2011,2011.0,Unprovoked,USA,Oregon,Seaside Cove,Surfing,F,,Minor injury to calf ,09h00
22-Nov-2011,2011.0,Watercraft,USA,California,Pigeon Point,Kayaking,M,,"No injury, kayak bitten",
  29-Oct-2011,2011.0,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,M,27,"Lacerations to right wrist, foream & neck",
20-Oct-2011,2011.0,Unprovoked,USA,Oregon,"Newport, Lincoln County",Surfing,M,41,"No injury, shark bit surfboard",
11-Oct-2011,2011.0,Unprovoked,USA,Florida,Cape Canaveral,Surfing,M,,Foot bitten,
10-Oct-2011,2011.0,Unprovoked,USA,Oregon,Seaside,Surfing,M,,No injury,
02-Oct-2011,2011.0,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",Wade fishing,M,,Minor injury to thigh,Afternoon
01-Oct-2011,2011.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",,M,29,Lacerations to right wrist and middle finger,
30-Sep-2011,2011.0,Invalid,USA,Puerto Rico,Hatillo Beach,Surfing,M,27,Lacerations to lower right leg ,09h50
24-Sep-2011,2011.0,Unprovoked,USA,Florida,"Santa Maria Island, Manatee County",Spearfishing,M,21,Laceration to left thigh,15h00
24-Sep-2011,2011.0,Unprovoked,USA,South Carolina,"North Myrtle Beach, Horry County",Jumping in the waves,M,5,Laceration to left thigh,10h00
20-Sep-2011,2011.0,Watercraft,USA,Hawaii,Kauai,Canoeing,M,,"No injury, canoe bitten by shark",15h00
16-Sep-2011,2011.0,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,25,Lacerations to arm,11h00
11-Sep-2011,2011.0,Unprovoked,USA,California,"Samoa Beach, Humboldt County",Surfing,M,37,"No injury, board bitten",12h20
04-Sep-2011,2011.0,Unprovoked,USA,Hawaii,"Nimitz State Beach, Oahu",Surfing,,,"No injury, shark bit surfboard",13h00
02-Sep-2011,2011.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,Lacerations to ankle & foot,11h00
31-Aug-2011,2011.0,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Surfing,M,19,Lacerations to lower leg,11h00
28-Aug-2011,2011.0,Unprovoked,USA,Texas,"Grass Island, Aransas County",Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",19h00
24-Aug-2011 ,2011.0,Unprovoked,USA,North Carolina,"Buxton Beach, Dare County",Surfing,M,21,Lacerations to foot,
24-Aug-2011 ,2011.0,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,,M,10,Heel bitten,15h30
17-Aug-2011,2011.0,Unprovoked,USA,North Carolina,"Kure Beach, New Hanover County",Wading,F,20s,Lacerations to foot,17h00
17-Aug-2011,2011.0,Invalid,USA,North Carolina,"Wrightsville Beach, New Hanover County",,M,12,Abrasions to left hand,16h00
16-Aug--2011,2011.0,Unprovoked,USA,Puerto Rico, Vieques,Floating ,M,27,Lacerations to  lower right leg and foot,Night
15-Aug-2011,2011.0,Invalid,USA,South Carolina,"Myrtle Beach, Horry County",Playing in the surf,M,7,Puncture wounds to foot,
